TOTAL_NUMBER,TOTAL_VALUE,OFFENCE_FINYEAR,OFFENCE_MONTH,ISSUING_AGENCY,OFFENCE_DESC
1,440,2014-2015,Sep,Fairfield City Council,Fail to comply with Food Standards Code - Individual
3,2640,2016-2017,Jul,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
1,660,2012-2013,May,Wollongong City Council,Fail to pay fee required by improvement notice - Individual
1,330,2014-2015,Oct,Central Coast Council,Not appoint food safety supervisor for premises - Individual
1,660,2014-2015,Sep,Blacktown City Council,Sell food that is unsuitable - Individual
1,880,2018-2019,Dec,Armidale Regional Council,Fail to comply with Food Standards Code - Corporation
4,3520,2016-2017,Apr,Burwood Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Feb,Sutherland Shire Council,Fail to comply with Food Standards Code - Corporation
9,7920,2016-2017,Jun,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
1,770,2016-2017,May,Penrith City Council,Fail to comply with a prohibition order - Individual
1,1320,2013-2014,Jul,Department of Primary Industries,Handle food in manner likely to render it unsuitable - Corporation
6,7920,2018-2019,Jul,Burwood Council,Fail to pay fee required by improvement notice - Corporation
1,1320,2018-2019,Oct,Wollongong City Council,Fail to pay fee required by improvement notice - Corporation
1,880,2018-2019,Jul,MidCoast Council,Fail to comply with Food Standards Code - Corporation
1,1540,2017-2018,Apr,Department of Primary Industries,Falsely describe food in promoting sale of food - Corporation
2,1760,2017-2018,Jun,MidCoast Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Jul,Newcastle City Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,May,Blacktown City Council,Fail to comply with Food Standards Code - Individual
12,5280,2016-2017,Jul,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,660,2013-2014,Jan,Department of Primary Industries,Not comply with requirements of food safety scheme - Individual
1,660,2017-2018,Jul,City of Parramatta,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
5,6600,2015-2016,Oct,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
2,880,2017-2018,May,Inner West Council,Fail to comply with Food Standards Code - Individual
10,4400,2014-2015,Apr,Randwick City Council,Fail to comply with Food Standards Code - Individual
7,6160,2015-2016,Nov,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Corporation
2,1760,2016-2017,Mar,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Jun,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Nov,Cobar Shire Council,Sell food that fails to comply with the Food Standards Code - Individual
2,1760,2017-2018,Apr,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Feb,Strathfield Municipal Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,Jan,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,Nov,City of Parramatta,Fail to notify appropriate enforcement agency - Individual
2,1760,2018-2019,Jan,Mosman Municipal Council,Fail to comply with Food Standards Code - Corporation
4,3520,2015-2016,Aug,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
6,5280,2012-2013,Apr,Burwood Council,Fail to comply with Food Standards Code - Corporation
5,2200,2012-2013,Jun,Queanbeyan City Council,Fail to comply with Food Standards Code - Individual
8,7040,2016-2017,Sep,Georges River Council,Fail to comply with Food Standards Code - Corporation
5,4400,2013-2014,Jul,Cumberland Council,Fail to comply with Food Standards Code - Corporation
2,1760,2017-2018,Dec,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
3,2640,2016-2017,Sep,Bayside Council,Fail to comply with Food Standards Code - Corporation
5,4400,2014-2015,May,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2015-2016,Nov,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
10,8800,2016-2017,Feb,Burwood Council,Fail to comply with Food Standards Code - Corporation
2,880,2012-2013,Jun,Willoughby City Council,Fail to comply with Food Standards Code - Individual
2,1760,2017-2018,Mar,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
3,2640,2013-2014,Nov,Bayside Council,Fail to comply with Food Standards Code - Corporation
5,4400,2016-2017,May,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
2,880,2013-2014,Jan,Tamworth Regional Council,Fail to comply with Food Standards Code - Individual
1,880,2015-2016,Nov,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
4,1760,2017-2018,Nov,North Sydney City Council,Fail to comply with Food Standards Code - Individual
3,1320,2013-2014,Jan,Cobar Shire Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,Jan,Port Macquarie Hastings Council,Sell food that fails to comply with the Food Standards Code - Individual
1,440,2016-2017,Dec,Cumberland Council,Fail to comply with Food Standards Code - Individual
2,1320,2017-2018,Oct,Wollongong City Council,Fail to pay fee required by improvement notice - Individual
1,440,2012-2013,Apr,Bayside Council,Fail to comply with Food Standards Code - Individual
2,880,2014-2015,Nov,Fairfield City Council,Fail to comply with Food Standards Code - Individual
2,1760,2014-2015,Aug,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
1,660,2013-2014,Dec,Mosman Municipal Council,Not appoint food safety supervisor for premises - Corporation
4,3520,2018-2019,Aug,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
5,4400,2012-2013,May,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
21,9240,2013-2014,Feb,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Mar,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
2,880,2016-2017,Nov,Coffs Harbour City Council,Fail to comply with Food Standards Code - Individual
1,770,2014-2015,Feb,NSW Police,Handle food in manner likely to render it unsafe - Individual
1,1320,2016-2017,Apr,Inner West Council,Fail to pay fee required by improvement notice - Corporation
4,1760,2016-2017,Jan,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,880,2012-2013,Feb,City of Ryde,Fail to comply with Food Standards Code - Corporation
1,440,2017-2018,Dec,Strathfield Municipal Council,Fail to comply with Food Standards Code - Individual
4,3520,2017-2018,May,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
1,1540,2017-2018,Mar,Department of Primary Industries,Sell unsafe food - Corporation
1,660,2014-2015,Oct,Blacktown City Council,Not appoint food safety supervisor for premises - Corporation
1,440,2012-2013,Mar,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
1,440,2017-2018,Sep,Clarence Valley Council,Fail to comply with Food Standards Code - Individual
6,5280,2015-2016,May,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
3,2640,2012-2013,Jun,Penrith City Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Mar,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
11,9680,2014-2015,May,Georges River Council,Fail to comply with Food Standards Code - Corporation
2,1760,2012-2013,Apr,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Feb,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
2,880,2013-2014,Nov,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
11,9680,2015-2016,Nov,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,330,2015-2016,Jun,Campbelltown City Council,Not appoint food safety supervisor for premises - Individual
18,15840,2016-2017,Dec,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
3,2640,2016-2017,Apr,Central Coast Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Oct,Waverley Council,Fail to notify appropriate enforcement agency - Individual
3,2640,2015-2016,Jun,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,1320,2018-2019,Oct,Waverley Council,Fail to pay fee required by improvement notice - Corporation
1,880,2016-2017,Jun,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
25,22000,2013-2014,Jan,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
2,1760,2012-2013,Jan,MidCoast Council,Fail to comply with Food Standards Code - Corporation
3,2640,2017-2018,Jun,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,440,2016-2017,Apr,North Sydney City Council,Fail to comply with Food Standards Code - Individual
2,880,2017-2018,Jun,The Hills Shire Council,Fail to comply with Food Standards Code - Individual
2,1760,2014-2015,Apr,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
1,440,2017-2018,Jan,Lismore City Council,Fail to comply with Food Standards Code - Individual
9,7920,2017-2018,Nov,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
1,330,2012-2013,May,Lismore City Council,Not appoint food safety supervisor for premises - Individual
7,6160,2016-2017,Mar,Bayside Council,Fail to comply with Food Standards Code - Corporation
2,880,2013-2014,Oct,Liverpool City Council,Fail to comply with Food Standards Code - Individual
1,440,2017-2018,Jun,Byron Shire Council,Fail to comply with Food Standards Code - Individual
2,1760,2018-2019,Jul,Camden Council,Fail to comply with Food Standards Code - Corporation
11,9680,2018-2019,Oct,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
5,4400,2018-2019,Oct,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
1,330,2013-2014,May,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
1,770,2017-2018,Aug,Goulburn Mulwaree Council,Handle food in manner likely to render it unsafe - Individual
1,880,2016-2017,Nov,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
2,1760,2014-2015,Oct,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2014-2015,May,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
1,330,2015-2016,Sep,Muswellbrook Shire Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
3,990,2012-2013,Mar,Fairfield City Council,Not appoint food safety supervisor for premises - Individual
4,3520,2016-2017,Mar,Penrith City Council,Fail to comply with Food Standards Code - Corporation
1,880,2018-2019,Nov,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Mar,City of Parramatta,Fail to comply with Food Standards Code - Corporation
1,660,2017-2018,Apr,Department of Primary Industries,Handle/sell food so as to contravene the food safety scheme - Individual
1,440,2017-2018,Jun,North Sydney City Council,Fail to comply with Food Standards Code - Individual
3,1320,2016-2017,Jun,Cessnock City Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Dec,Yass Valley Council,Fail to comply with Food Standards Code - Corporation
1,660,2016-2017,May,Department of Primary Industries,Fail to have samples analysed as prescribed - Corporation
7,6160,2015-2016,May,Lane Cove Municipal Council,Fail to comply with Food Standards Code - Corporation
2,1320,2016-2017,Mar,Department of Primary Industries,Not comply with requirements of food safety scheme - Individual
1,440,2014-2015,May,Byron Shire Council,Fail to comply with Food Standards Code - Individual
26,22880,2014-2015,Oct,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
5,4400,2015-2016,Mar,Bayside Council,Fail to comply with Food Standards Code - Corporation
6,2640,2016-2017,Nov,Bayside Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Mar,City of Canada Bay Council,Fail to notify appropriate enforcement agency - Corporation
5,2200,2016-2017,Mar,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
1,330,2016-2017,Mar,Bellingen Shire Council,Not appoint food safety supervisor for premises - Individual
2,1760,2016-2017,Mar,Waverley Council,Fail to comply with Food Standards Code - Corporation
4,3520,2017-2018,Jul,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Mar,Blacktown City Council,Sell food packaged/labelled contravening Food Standards Code - Corporation
1,660,2017-2018,Mar,City of Sydney Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
